id,first_name,last_name,institution
292,Claudine,Katan,Institut des Sciences Chimiques de Rennes
293,Valerio,D'Innocenzo,Istituto Italiano di Tecnologia
294,Giulia,Grancini,Istituto Italiano di Tecnologia
295,Marcelo,Alcocer,Istituto Italiano di Tecnologia
296,Ajay,Kandada,Istituto Italiano di Tecnologia
297,Michael,Lee,University of Oxford
298,Guglielmo,Lanzani,Istituto Italiano di Tecnologia
299,Annamaria,Petrozza,Istituto Italiano di Tecnologia
300,David,Mitzi,IBM T. J. Watson Research Center
301,Chenkun,Zhou,"FAMU-FSU College of Engineering, Tallahassee"
302,Haoran,Lin,"FAMU-FSU College of Engineering, Tallahassee"
303,Yu,Tian,Florida State University
304,Zhao,Yuan,"FAMU-FSU College of Engineering, Tallahassee"
305,Ronald,Clark,Florida State University
306,Banghao,Chen,Florida State University
307,Lambertus,van de Burgt,Florida State University
308,Jamie,Wang,Florida State University
309,Yan,Zhou,Florida State University
310,Kenneth,Hanson,Florida State University
311,Quinton,Meisner,Florida State University
312,Jennifer,Neu,Florida State University
313,Tiglet,Besara,Florida State University
314,Theo,Siegrist,Florida State University
315,Eric,Lambers,University of Florida
316,Peter,Djurovich,University of Southern California
317,Biwu,Ma,Florida State University
318,Lingling,Mao,Northwestern University
319,Peijun,Guo,Argonne National Laboratory
320,Mikael,Kepenekian,Institut des Sciences Chimiques de Rennes
321,Ido,Hadar,Northwestern University
322,Jacky,Even,Institut FOTON
323,Richard,Schaller,Northwestern University
324,Jun,Hu,University of North Carolina at Chapel Hill
325,Iain,Oswald,Colorado State University
326,Samuel ,Stuard,North Carolina State University
327,Masrur Morshed ,Nahid,North Carolina State University
328,Ninhao,Zhou,University of North Carolina at Chapel Hill
329,Olivia,Williams,University of North Carolina at Chapel Hill
330,Zhenkun,Guo,University of North Carolina at Chapel Hill
331,Liang,Yan,University of North Carolina at Chapel Hill
332,Huamin,Hu,University of North Carolina at Chapel Hill
333,Zheng,Chen,University of North Carolina at Chapel Hill
334,Xun,Xiao,University of North Carolina at Chapel Hill
335,Yun,Lin,University of North Carolina at Chapel Hill
336,Zhibin,Yang,University of North Carolina at Chapel Hill
337,Jinsong,Huang,University of North Carolina at Chapel Hill
338,Andrew,Moran,University of North Carolina at Chapel Hill
339,Harald,Ade,North Carolina State University
340,James,Neilson,Colorado State University
341,Wei,You,University of North Carolina at Chapel Hill
342,Yaxin,Zhai,"Department of Physics and Astronomy, University of Utah"
343,Sangita,Baniya,"Department of Physics and Astronomy, University of Utah"
344,Chuang,Zhang,"Department of Physics and Astronomy, University of Utah"
345,Junwen,Li,"Center for Nanoscale Science and Technology, National Institute of Standards and Technology; Maryland NanoCenter, University of Maryland"
346,Paul,Haney,"Center for Nanoscale Science and Technology, National Institute of Standards and Technology"
347,Chuan-Xiang,Sheng,"Department of Physics and Astronomy, University of Utah; School of Electronic and Optical Engineering, Nanjing University of Science and Technology"
348,Eitan,Ehrenfreund,"Department of Physics and Astronomy, University of Utah; Physics Department and Solid State Institute, Technion-Israel Institute of Technology"
349,Zeev Valy,Vardeny,"Department of Physics and Astronomy, University of Utah"
350,Lingling,Mao,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
351,Weijun,Ke,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
352,Laurent,Pedessau,"Univ Rennes, INSA Rennes, CNRS, Institut FOTON - UMR 6082, Rennes F-35000, France"
353,Yilei,Wu,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
354,Claudine,Katan,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes) - UMR 6226, Rennes F-35000, France"
355,Jacky,Even,"Univ Rennes, INSA Rennes, CNRS, Institut FOTON - UMR 6082, Rennes F-35000, France"
356,Michael,Wasielewski,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
357,Constantinos,Stoumpos,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
358,Mercouri,Kanatzidis,"Department of Chemistry, and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University, Evanston, Illinois 60208, United States"
359,Tianyang ,Li,"Department of Mechanical Engineering and Materials Science, Duke University"
360,Wiley,A. Dunlap-Shohl,"Department of Mechanical Engineering and Materials Science, Duke University"
361,Eric,W. Reinheimer,Rigaku Americas Corporation
362,Pierre ,Le Magueres,Rigaku Americas Corporation
363,David ,B. Mitzi,"Department of Mechanical Engineering and Materials Science, Duke University"
364,Zewen,Xiao,"Department of Physics and Astronomy, The University of Toledo"
365,Wei Wei,Meng,"Department of Physics and Astronomy, The University of Toledo"
366,Bayrammurad,Saparov,"School of Physics and Technology, Wuhan University"
367,Hsin-Sheng,Duan,"Department of Mechanical Engineering and Materials Science, Duke University"
368,Changlei,Wang,"Department of Physics and Astronomy, The University of Toledo"
369,Chunbao,Fang,"Department of Physics and Astronomy, The University of Toledo"
370,Weiqiang,Liao,"Department of Physics and Astronomy, The University of Toledo"
371,Weijun,Ke,"Department of Physics and Astronomy, The University of Toledo"
372,Dewei,Zhao,"Department of Physics and Astronomy, The University of Toledo"
373,Jianbo,Wang,"School of Physics and Technology, Wuhan University"
