2022-09-07 21:30:26 WARNING issue with unit arrangement formula:Rh2SbSr calc_id:07nMCm3B0SEvP6ameAn5vIpabc6Z prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:29 WARNING issue with unit arrangement formula:La2MoNa calc_id:0993yT2rbjsXmgOPnQNHHHwqxL2R prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:31 WARNING issue with unit arrangement formula:NbReSr2 calc_id:09WxRdveJIhfRY6NQDY9CXrcmPQh prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:33 WARNING issue with unit arrangement formula:SeTa2Zr calc_id:0BFmThgimbm-oA1jo4j97gWl96aa prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:42 WARNING issue with unit arrangement formula:Mg2PbSn calc_id:0BLIeWfSpaAMX_0Fgl0erQJ_jsd3 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:45 WARNING issue with unit arrangement formula:ReYZn calc_id:0Bn3m_0gI3x0TKRq7CVOfLevRepq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:47 WARNING issue with unit arrangement formula:Na2ReSn calc_id:0Cw8gfdYidgs9cjhJfxI7VPHEUoN prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:49 WARNING issue with unit arrangement formula:MgMnNb calc_id:0EE2xwGryGX1mg9Y5SIZ0Iw7P_O_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:51 WARNING issue with unit arrangement formula:NaP2Ta calc_id:0EK37hanQ05lT30C35dGedkOHJdo prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:53 WARNING issue with unit arrangement formula:PtTi2Tl calc_id:0FagyFE9g2ItwB4gJM3MjYj7FqvE prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:55 WARNING issue with unit arrangement formula:In4NbP calc_id:0GZcFg_U5iDQJH_V6VyQ1caXx_iR prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:58 WARNING issue with unit arrangement formula:IrRhSb2 calc_id:0I0pIp7vE-fQx0smeRTIO6uXk19S prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
